verbose,N_E_traj,add_history,RL_expert_folder,N_agg_iter,N_epoch,total_opt_steps,kill_feats,pair_E_s0,run_seed,opt_seed,pi0_BC_init,density_ratio_feature_map,adversary_feature_map,learning_rate,H_dims,linear,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,resume_BC,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,switch_2_E_after,random_demos,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max,loss_function,alg,env_id,N_E_samp,w_max,w_min,w_ESS,reward,loss_test,loss_train,final,class_test,runtime,partial_obs,result_path,reward_std,results_path,render_final,best_ind
0,40,True,my_RL_experts,5,10,1600000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,3381,1.0,1.0,3381.0,-88.5,0.30081701278686523,0.1587049812078476,False,0.07644882798194885,0.8159113685290019,,,,,,
0,40,True,my_RL_experts,5,10,2000000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,3381,1.0,1.0,3381.0,-84.1,0.30081701278686523,0.1587049812078476,True,0.07644882798194885,0.9957814017931619,,,,,,
0,1,False,my_RL_experts,1,5,500000,,False,,,True,linear,poly 2,0.01,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,Expert,Acrobot-v1,76,1.0,1.0,75.99999999999999,-84.4,0.785115659236908,0.7735276818275452,True,0.0,0.0060099562009175616,,,,,,
0,1,False,my_RL_experts,1,5,500000,,False,1.0,,True,linear,poly 2,0.01,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,Random,Acrobot-v1,76,1.0,1.0,75.99999999999999,-500.0,1.121992588043213,1.092326521873474,True,0.64488285779953,0.010403438409169515,,,,,,
0,1,False,my_RL_experts,5,10,400000,,False,1.0,1.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,76,1.0,1.0,75.99999999999999,-102.0,4.704161167144775,1.0211133485427126e-06,False,0.11590629070997238,0.1626714030901591,,,,,,
0,1,False,my_RL_experts,5,10,800000,,False,1.0,1.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,76,1.0,1.0,75.99999999999999,-87.0,54.13040542602539,7.058436324314242e-08,False,0.1257706582546234,0.32741268078486124,,,,,,
0,1,False,my_RL_experts,5,10,1200000,,False,1.0,1.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,76,1.0,1.0,75.99999999999999,-71.0,55.8410530090332,0.0,False,0.12700369954109192,0.4915157953898112,,,,,,
0,1,False,my_RL_experts,5,10,1600000,,False,1.0,1.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,76,1.0,1.0,75.99999999999999,-71.0,55.8648567199707,0.0,False,0.12823674082756042,0.6553911328315735,,,,,,
0,1,False,my_RL_experts,5,10,2000000,,False,1.0,1.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,76,1.0,1.0,75.99999999999999,-77.3,55.8410530090332,0.0,True,0.12700369954109192,0.8264048933982849,,,,,,
0,1,True,my_RL_experts,5,10,400000,,False,1.0,1.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,76,1.0,1.0,75.99999999999999,-71.0,5.3297553062438965,9.191609819936277e-07,False,0.1208384707570076,0.17133508523305258,,,,,,
0,1,True,my_RL_experts,5,10,800000,,False,1.0,1.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,76,1.0,1.0,75.99999999999999,-74.0,7.826587200164795,9.724963234702957e-08,False,0.11220715194940567,0.3425080299377441,,,,,,
0,1,True,my_RL_experts,5,10,1200000,,False,1.0,1.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,76,1.0,1.0,75.99999999999999,-71.0,11.964831352233887,0.0,False,0.11344020068645475,0.5131717562675476,,,,,,
0,1,True,my_RL_experts,5,10,1600000,,False,1.0,1.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,76,1.0,1.0,75.99999999999999,-71.0,41.11745834350586,1.0979798403809582e-08,False,0.11344020068645475,0.6843904177347819,,,,,,
0,1,True,my_RL_experts,5,10,2000000,,False,1.0,1.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,76,1.0,1.0,75.99999999999999,-77.9,11.964831352233887,0.0,True,0.11344020068645475,0.8615716973940531,,,,,,
0,4,False,my_RL_experts,1,5,500000,,False,,,True,linear,poly 2,0.01,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,Expert,Acrobot-v1,417,1.0,1.0,417.0,-84.9,0.785115659236908,0.7645819783210754,True,0.0,0.00566865603129069,,,,,,
0,4,False,my_RL_experts,1,5,500000,,False,1.0,,True,linear,poly 2,0.01,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,Random,Acrobot-v1,417,1.0,1.0,417.0,-500.0,1.131980299949646,1.1151447296142578,True,0.6732429265975952,0.010368216037750243,,,,,,
0,4,False,my_RL_experts,5,10,400000,,False,1.0,1.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,417,1.0,1.0,417.0,-80.75,4.4633917808532715,0.004971913993358612,False,0.09741060435771942,0.16793487469355264,,,,,,
0,4,False,my_RL_experts,5,10,800000,,False,1.0,1.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,417,1.0,1.0,417.0,-82.75,7.4466142654418945,0.003698164597153664,False,0.0912453755736351,0.33580581347147626,,,,,,
0,4,False,my_RL_experts,5,10,1200000,,False,1.0,1.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,417,1.0,1.0,417.0,-99.25,9.165722846984863,0.003629594342783094,False,0.09741060435771942,0.5044680714607239,,,,,,
0,4,False,my_RL_experts,5,10,1600000,,False,1.0,1.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,417,1.0,1.0,417.0,-96.5,12.669504165649414,0.0005431540193967521,False,0.09741060435771942,0.6734243233998617,,,,,,
0,4,False,my_RL_experts,5,10,2000000,,False,1.0,1.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,417,1.0,1.0,417.0,-91.4,12.669504165649414,0.0005431540193967521,True,0.09741060435771942,0.8471750219662985,,,,,,
0,4,True,my_RL_experts,5,10,400000,,False,1.0,1.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,417,1.0,1.0,417.0,-132.75,5.64003849029541,0.0017345340456813574,False,0.10357583314180374,0.1764315088589986,,,,,,
0,4,True,my_RL_experts,5,10,800000,,False,1.0,1.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,417,1.0,1.0,417.0,-88.0,6.600542545318604,0.01894633285701275,False,0.10110974311828612,0.3508236646652222,,,,,,
0,4,True,my_RL_experts,5,10,1200000,,False,1.0,1.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,417,1.0,1.0,417.0,-85.5,8.08023738861084,0.0006294006598182023,False,0.10480887442827223,0.5254292607307434,,,,,,
0,4,True,my_RL_experts,5,10,1600000,,False,1.0,1.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,417,1.0,1.0,417.0,-100.75,8.782931327819824,7.192919292720036e-05,False,0.10727497190237044,0.7007506728172302,,,,,,
0,4,True,my_RL_experts,5,10,2000000,,False,1.0,1.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,417,1.0,1.0,417.0,-84.7,9.764898300170898,4.149771120864898e-05,True,0.10480887442827223,0.8800887584686279,,,,,,
0,10,False,my_RL_experts,1,5,500000,,False,,,True,linear,poly 2,0.01,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,Expert,Acrobot-v1,894,1.0,1.0,893.9999999999999,-76.8,0.785115659236908,0.7750397324562073,True,0.0,0.005371518929799398,,,,,,
